id,song,artist,album,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature,genres,release date,artist popularity,track popularity
46F2qArLwz8WT1qJ2bNRfR,Youth - Adventure Club Remix,Foxes,Youth (Adventure Club Remix),2018.05.06,0.53,0.55,0,-6.631,0,0.0457,0.00747,0.000492,0.0898,0.208,139.98,4,"['electropop', 'indie poptimism', 'metropopolis', 'pop']",9/24/13,61,47
4WochDEizmmPZk0aQXfKHo,Roll (Burbank Funk),The Internet,Roll (Burbank Funk),2018.05.10,0.788,0.674,1,-8.652,1,0.109,0.175,3.62E-06,0.201,0.969,112.512,4,"['escape room', 'hip hop', 'indie r&b', 'neo soul', 'r&b']",4/27/18,63,65
1N7JaLzEnYLee0DUxoMrei,Los Ageless - Recorded At Spotify Studios NYC,St. Vincent,Spotify Singles,2018.05.13,0.422,0.337,7,-6.888,0,0.0435,0.855,0,0.0941,0.355,159.723,3,"['art pop', 'chamber pop', 'electropop', 'etherpop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'metropopolis', 'modern rock']",2/7/18,59,42
1N7JaLzEnYLee0DUxoMrei,Los Ageless - Recorded At Spotify Studios NYC,St. Vincent,Spotify Singles,2018.05.13,0.422,0.337,7,-6.888,0,0.0435,0.855,0,0.0941,0.355,159.723,3,"['art pop', 'chamber pop', 'electropop', 'etherpop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'metropopolis', 'modern rock']",2/7/18,59,42
6llIaMotP9Yr8ozgPl8hwl,Geyser,Mitski,Geyser,2018.05.14,0.149,0.615,7,-4.897,1,0.036,0.00245,0,0.0798,0.156,155.591,3,"['art pop', 'brooklyn indie', 'chamber pop', 'escape room', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'preverb']",5/14/18,55,57
42zJqS8TW1Lpsa186of3OY,I Feel Like I'm Drowning,Two Feet,I Feel Like I'm Drowning,2018.05.14,0.715,0.564,8,-5.56,1,0.0456,0.676,0.0072,0.0854,0.213,104.923,3,[],11/10/17,68,73
51RirZM2y4lXpi95AGmmRT,Maybe,Jamie Isaac,(04:30) Idler,2018.05.14,0.71,0.69,11,-9.695,0,0.0958,0.347,0.303,0.0971,0.352,91.974,4,['indie r&b'],6/1/18,47,28
3uuiUK9uwMC1igjCPPJ0sz,summer nights.,halberd,summer nights.,2018.05.14,0.782,0.127,7,-20.939,1,0.668,0.939,0.781,0.125,0.39,83.989,4,"['chillhop', 'lo-fi beats']",7/14/17,47,54
0DxxvXU2DkacOCyEu8SGET,Cherry Blossom Cider,Jazzinuf,Audio Bartending,2018.05.14,0.673,0.478,2,-10.3,0,0.0494,0.645,0.211,0.154,0.435,74.981,4,['chillhop'],4/1/18,45,30
2G9oZg1ylSUdP9ESPQuG0w,Pecans (feat. Terrace Martin),Smino,Pecans (feat. Terrace Martin),2018.05.14,0.654,0.726,10,-7.519,0,0.112,0.0777,0.00343,0.0903,0.548,81.985,4,"['hip hop', 'indie r&b', 'rap', 'underground hip hop']",12/15/17,61,48
0mQiDbYxHElUp1eNpLZXaY,American Sports,Arctic Monkeys,Tranquility Base Hotel & Casino,2018.05.14,0.372,0.865,7,-4.288,0,0.0513,0.00169,0.00293,0.127,0.594,176.689,3,"['garage rock', 'modern rock', 'permanent wave', 'sheffield indie']",5/11/18,81,64
7seSDB6TiLZarbicyDIjiQ,Batphone,Arctic Monkeys,Tranquility Base Hotel & Casino,2018.05.14,0.675,0.681,5,-5.728,0,0.0356,0.312,0,0.304,0.675,106.521,4,"['garage rock', 'modern rock', 'permanent wave', 'sheffield indie']",5/11/18,81,63
53jbdPQBaH6WaQvW0zmGBs,Talia,King Princess,Talia,2018.05.16,0.401,0.507,2,-7.001,1,0.089,0.549,0,0.164,0.236,180.159,4,"['electropop', 'pop']",4/13/18,69,69
0CZ8lquoTX2Dkg7Ak2inwA,1950,King Princess,1950,2018.05.16,0.6,0.535,4,-7.043,1,0.107,0.648,4.70E-06,0.162,0.269,71.912,4,"['electropop', 'pop']",2/23/18,69,86
2VjXGuPVVxyhMgER3Uz2Fe,Ex-Factor,Ms. Lauryn Hill,The Miseducation of Lauryn Hill,2018.05.18,0.593,0.619,3,-9.003,0,0.0976,0.118,0,0.484,0.668,80.02,4,"['dance pop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'r&b', 'urban contemporary']",8/25/98,66,68
3hAGmPnGix8RTb1vy5qZcb,Avenue,H.E.R.,H.E.R.,2018.05.21,0.362,0.417,8,-11.412,1,0.289,0.509,1.60E-06,0.145,0.113,82.156,4,"['indie r&b', 'pop', 'r&b']",10/20/17,73,62
2QbTsEUF97LixvDbyKUdCj,Maybes - RAC Mix,Giraffage,Too Real (Remixes),2018.05.21,0.569,0.791,6,-6.757,1,0.0355,0.143,0.655,0.109,0.298,139.78,4,"['chillwave', 'electronic trap', 'future funk', 'indie dream pop', 'indie r&b', 'indietronica', 'vapor soul', 'vapor twitch', 'vaporwave']",12/5/17,47,50
2YyNFk4HBKXrqgsvPDNJtO,2,H.E.R.,H.E.R.,2018.05.21,0.794,0.448,6,-7.401,0,0.148,0.313,0.0184,0.128,0.429,149.975,4,"['indie r&b', 'pop', 'r&b']",10/20/17,73,59
2Gf4W4hbDEqgm7zSXwBvn0,Slumber,Sløtface,Try Not to Freak Out,2018.05.22,0.432,0.62,0,-7.903,0,0.0616,0.0227,5.76E-06,0.0835,0.264,115.298,4,"['deep australian indie', 'norwegian indie']",9/15/17,33,17
4coITt1FG81SBmqJ1eSPxO,I Won't,H.E.R.,H.E.R.,2018.05.22,0.527,0.407,1,-10.64,0,0.135,0.57,0.000135,0.224,0.264,174.202,4,"['indie r&b', 'pop', 'r&b']",10/20/17,73,58
50lP2u9FBdxwP2mHdaQ3DR,Gone Away,H.E.R.,H.E.R.,2018.05.22,0.39,0.335,6,-12.717,0,0.141,0.669,0,0.0958,0.295,77.975,4,"['indie r&b', 'pop', 'r&b']",10/20/17,73,56
4ze4eAFojKY9e3QT6xNRNZ,Pigment,H.E.R.,H.E.R.,2018.05.22,0.54,0.343,3,-13.263,0,0.266,0.591,0,0.114,0.333,110.682,4,"['indie r&b', 'pop', 'r&b']",10/20/17,73,57
5EJ9r9spAEZUCyAtgoGqOh,Nancy Drew,Sløtface,Try Not to Freak Out,2018.05.22,0.399,0.838,11,-7.291,0,0.136,0.000905,0,0.118,0.557,88.424,4,"['deep australian indie', 'norwegian indie']",9/15/17,33,32
3f9DYDBamVHafrQL3dNYNq,Pools,Sløtface,Try Not to Freak Out,2018.05.22,0.377,0.95,2,-5.564,1,0.112,0.00267,4.86E-05,0.539,0.569,166.024,4,"['deep australian indie', 'norwegian indie']",9/15/17,33,15
00Y0cIW6iyhnkY3qN7p86q,Galaxies,Sløtface,Try Not to Freak Out,2018.05.22,0.466,0.842,11,-6.45,1,0.0921,0.00392,0,0.0761,0.66,92.45,4,"['deep australian indie', 'norwegian indie']",9/15/17,33,23
1BKTC2TMUJ11nUxvrzTwfy,ゼロコンマ、色とりどりの世界,MASS OF THE FERMENTING DREGS,ゼロコンマ、色とりどりの世界,2018.05.23,0.0911,0.985,0,-2.071,1,0.0903,5.36E-05,0.142,0.328,0.236,186.871,4,['j-rock'],7/30/10,28,27
7GFejQlQ9tbV9sEIBFqQ7I,Desert Horse,Melody's Echo Chamber,Bon Voyage,2018.05.23,0.514,0.703,11,-7.905,0,0.0497,0.0544,0.00295,0.676,0.284,78.914,4,"['art pop', 'chillwave', 'dream pop', 'freak folk', 'indie pop', 'indietronica', 'modern rock', 'neo-psychedelic', 'noise pop', 'nu gaze', 'preverb', 'shiver pop']",6/15/18,51,42
3mv7kNbQ3u4oRZyu05SBjZ,Foreign Bodies,Lucy Swann,"Blue, Indigo, Violet and Death",2018.05.28,0.615,0.472,6,-7.685,1,0.0366,0.0719,0.0229,0.146,0.419,150.979,5,[],1/12/18,19,34
0LPODKihyn7XCxFevkE3KY,So Good at Being in Trouble,Unknown Mortal Orchestra,II (Deluxe Edition),2018.05.30,0.829,0.435,0,-10.136,1,0.0515,0.0363,0.878,0.119,0.594,103.816,4,"['art pop', 'chillwave', 'freak folk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'new rave', 'portland indie']",10/22/13,62,62
0rAiB3aC80OKjWlo88pp3c,(04:30) Idler / Sleep,Jamie Isaac,(04:30) Idler,2018.05.31,0.679,0.715,2,-9.716,1,0.0718,0.243,0.498,0.174,0.52,129.959,3,['indie r&b'],6/1/18,47,29
7er0EUMY653mxZ1NVD9mwQ,FIND YOUR WINGS,"Tyler, The Creator",Cherry Bomb,2018.06.01,0.512,0.427,9,-7.338,0,0.0277,0.405,0.0837,0.0976,0.191,75.027,4,"['hip hop', 'rap']",4/13/15,75,56
1gC6SzIgqKz8mF4fSYCF9H,Escape,Sudan Archives,Sink,2018.06.01,0.746,0.556,7,-9.9,1,0.0345,0.167,0.244,0.129,0.448,110.025,3,"['escape room', 'indie r&b']",5/25/18,44,37
